vintage,n_funds,paid_in,distributed,nav,dpi,rvpi,tvpi,avg_net_irr
1998,1,154085315.0,254289011.0,23483.0,1.6503130814250533,0.00015240258294568824,1.650465484007999,8.5
2000,1,111242017.0,136083476.0,21107.0,1.2233100376092605,0.00018973945788847032,1.223499777067149,6.5
2001,3,1056818138.0,1662612341.0,6601551.0,1.5732246459607981,0.006246629162225828,1.579471275123024,15.533333333333333
2003,3,419065395.0,666379717.0,3043901.0,1.5901568703853488,0.007263546540272074,1.597420416925621,11.133333333333333
2004,1,126989866.0,219524851.0,65077.0,1.7286800743612092,0.0005124582145791067,1.7291925325757884,26.6
2005,3,305073087.0,537030615.0,0,1.7603342867147111,0.0,1.7603342867147111,17.8
2006,5,3115834221.0,4528616200.0,8943802.0,1.453420136886031,0.0028704357695672152,1.4562905726555984,8.5
2007,5,3065242555.0,5125271119.0,44905800.0,1.6720605391047105,0.014649998880757416,1.6867105379854679,9.16
2008,5,1816138178.0,3391266413.0,407045080.0,1.8672953710684013,0.22412671289596114,2.0914220839643622,13.88
2009,2,730332243.0,899883714.0,227635499.0,1.232156628199147,0.31168759312191563,1.5438442213210626,7.699999999999999
2010,1,153776026.0,185133795.0,53495029.0,1.20391845085137,0.34787626128405735,1.5517947121354274,5.3
2011,3,926274165.0,2154390921.0,119094544.0,2.3258674401223316,0.1285737511636201,2.4544411912859516,19.933333333333334
2012,2,1065254389.0,1532544386.0,13473996.0,1.4386651693955141,0.012648618150870627,1.4513137875463848,25.0
2013,3,1629406375.0,2420561592.0,498894670.0,1.485548129146113,0.3061818571809626,1.7917299863270757,12.6
2014,3,1436118949.0,1875154615.0,722246264.0,1.3057098204196176,0.502915350084974,1.8086251705045917,11.433333333333335
2015,3,680838144.0,1385608945.0,381868219.0,2.035151757008491,0.5608795899073481,2.596031346915839,25.733333333333334
2016,3,1707516722.0,1583220832.0,943292256.0,0.9272066338217683,0.552435149739049,1.479641783560817,8.766666666666667
2017,3,1570354194.0,1565148125.0,1986191218.0,0.9966847804018409,1.2648046062403167,2.261489386642158,18.5
2018,4,1443514791.0,1381015134.0,1311292485.0,0.9567031405638018,0.9084025277576806,1.8651056683214824,19.1
2019,4,1611162390.0,964340202.0,1658927659.0,0.5985369370495298,1.0296464647489691,1.628183401798499,17.7
2020,4,1228739495.0,332169266.0,1741406769.0,0.2703333516597023,1.417230239677451,1.6875635913371532,12.7
2021,4,981522579.0,326190125.0,1191672443.0,0.3323307399941128,1.214105990525563,1.5464367305196756,10.125
2022,4,866534611.0,928742.0,1057049627.0,0.0010717886951199921,1.2198585187268418,1.2209303074219617,4.725
2023,2,440676884.0,64595.0,698700113.0,0.00014658132147453415,1.585515688179369,1.5856622695008435,
2024,1,126976922.0,163572.0,166975847.0,0.0012882025916488983,1.31500940777254,1.3162976103641888,
2025,1,616989.0,0,0,0.0,0.0,0.0,
